Level,FP,Increase
1,40,
2,43,3
3,46,3
4,49,3
5,52,3
6,55,3
7,58,3
8,62,4
9,75,3
10,78,3
11,82,4
12,85,3
13,88,3
14,91,3
15,95,4
16,100,5
17,105,5
18,110,5
19,116,6
20,121,5
21,126,5
22,131,5
23,137,6
24,142,5
25,147,5
26,152,5
27,158,6
28,163,5
29,168,5
30,173,5
31,179,6
32,184,5
33,189,5
34,194,5
35,200,6
36,207,7
37,214,7
38,221,7
39,228,7
40,235,7
41,242,7
42,248,6
43,255,7
44,262,7
45,268,6
46,275,7
47,281,6
48,287,6
49,293,6
50,300,7
51,305,5
52,311,6
53,317,6
54,322,5
55,328,6
56,333,5
57,338,5
58,342,4
59,346,4
60,350,4
61,352,2
62,355,3
63,357,2
64,360,3
65,362,2
66,365,3
67,367,2
68,370,3
69,373,3
70,375,2
71,378,3
72,380,2
73,383,3
74,385,2
75,388,3
76,391,3
77,393,2
78,396,3
79,398,2
80,401,3
81,403,2
82,406,3
83,408,2
84,411,3
85,414,3
86,416,2
87,419,3
88,421,2
89,424,3
90,426,2
91,429,3
92,432,3
93,434,2
94,437,3
95,439,2
96,442,3
97,444,2
98,447,3
99,450,3
